Fecha,ABC.A,BNC,BPV,BVCC,BVL,CIE,CRM.A,DOM,EFE,ENV,FVI.B,GZL,MPA,MVZ.A,MVZ.B,RST,RST.B,TDV.D,TPG,FVI.A,PGR,PTN,BOU,CGQ,FFV.B,FNC,ICP.B,SVS,CCR,PIV.B,PER,ALZ.B,MTC.B,IMP.B,ARC.B,GZL.A,RFM,ARC.A,VNA.B,IMP.A,IVC.A,IVC.B,GMC.B
2024-01-31,0,31840.46,37115.52,782903.52,13592.5,3000,2431.1,13870.54,683.96,7303.47,12701.06,0,2066.8,1161.5,5019.5,2032,7742.63,25943.56,6500,420,1486.79,1195.72,0,410,0,0,0,4776.85,0,1800,0,0,0,19055,0,0,0,0,17414.88,0,0,0,0
2024-02-01,5440,164911.88,80576.78,6325.51,11139.22,30,676.94,18372.72,1459.2,13417.5,27376.2,55.4,25.9,113589,1631.5,3611.65,1805.73,3796.37,3672,80,823.68,107.4,0,196.8,0,284,288,179.4,0,2715,0,0,0,0,163.77,0,0,0,100,0,0,0,0
2024-02-02,960,73628.06,33337,49343.98,2957.41,390,37.3,5875.11,391.6,3007.06,7354.88,277,13231.4,49.5,6058.75,7983.55,6788.82,24950.26,1400,120,1745.9,966.6,0,0,0,0,32,855.14,0,990,0,0,0,0,0,0,0,0,307.5,0,0,0,0
2024-02-05,680,4253.59,27827.53,17524.1,28541.41,30,145.86,6311.88,3907.2,6537.07,10696.2,1656,572,3000,928,7118.85,5680.75,7160.44,1775,0,655.7,45.5,0,0,0,0,0,765.7,0,3600,0,0,0,0,0,0,0,0,5000,0,0,0,0
2024-02-06,79.98,30408.5,41513.58,2843.28,14433.5,1700,0,0,1070.74,2702.8,19645,0,759.2,19430.5,14106.25,5528.56,360.46,105921.85,1815,200,2699.09,2520,0,2077.4,0,0,16,1215.2,0,0,0,0,0,0,0,0,0,0,1040,0,0,0,0
2024-02-07,0,38397.2,105218.55,6623,2002.5,7051.5,25.48,4597.25,2024.85,1703812.5,20505.65,485.82,0,260105.26,99057.35,28075.29,3826.93,118888.9,1677,0,828.45,385,0,0,0,482.8,0,6629.86,0,35500,0,291.33,0,0,0,0,0,0,12000,0,0,0,0
2024-02-08,390,44700.81,12095.49,1633.41,7992.25,0,3600,847950,1748.83,3231.8,18593.4,1079.6,0,1817.5,136.5,12868.72,68.8,27633.28,2641.55,0,228.81,1836.65,0,0,0,0,0,0,1890,0,0,0,0,3700,0,0,0,0,9600,0,0,0,0
2024-02-09,117,12837.65,118243.55,127094.71,2385,10408,3861.35,68811.95,654.2,11507,19249.9,7724.99,130,2718.55,90.95,6273.35,12711.45,41118.15,1925.88,0,31886.4,533.35,0,958.8,0,71,0,9865.35,0,1500,0,0,0,0,1060,0,0,0,2280,0,0,0,0
2024-02-14,395,43662.49,18118.5,3936.79,4682.42,300,18.2,24398.65,2249.1,1908,3658.15,0,1237.7,15489,18141.95,7310.9,5506.06,4469.5,1352.59,0,0,1751.14,0,551.31,0,0,0,1007.19,0,19000,0,388.44,0,0,742,0,0,0,0,0,0,0,0
2024-02-15,1724,10816.43,42525.38,29982.1,1996.3,5940,282.95,3350.2,369,883.48,4453.73,80.94,2600,3701.15,2317.44,1622.3,465.14,1730.49,2144.35,79.9,1985.76,730.35,0,0,0,0,0,1001.3,630,3000,0,744.51,0,0,1769791.12,0,0,0,0,0,0,0,0
2024-02-16,13240,16641.43,15086.48,2443.69,14894.14,0,1262.45,12234.4,149.4,1098.5,17300.66,1344.5,104,38807.88,2590.08,5853.75,1557.67,46910.24,329.9,1997.5,0,169.5,0,0,0,112.8,0,588,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0
