Fecha,ABC.A,BNC,BPV,BVCC,BVL,CIE,CRM.A,DOM,EFE,ENV,FVI.B,GZL,MPA,MVZ.A,MVZ.B,RST,RST.B,TDV.D,TPG,FVI.A,PGR,PTN,BOU,CGQ,FFV.B,FNC,ICP.B,SVS,CCR,PIV.B,PER,ALZ.B,MTC.B,IMP.B,ARC.B,GZL.A,RFM,ARC.A,VNA.B,IMP.A,IVC.A,IVC.B,GMC.B
2024-02-19,9,26,15,13,12,0,6,8,3,3,10,0,7,8,4,10,4,11,3,0,2,6,0,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2024-02-20,9,27,9,8,4,2,7,10,4,2,9,1,3,5,7,7,9,10,5,0,5,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2024-02-21,6,25,9,4,12,2,7,3,4,2,9,3,3,5,1,9,4,9,1,1,0,4,0,2,0,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2024-02-22,6,26,8,11,12,2,7,9,2,2,3,3,0,1,0,9,7,10,4,1,2,2,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2024-02-23,8,25,11,8,6,3,5,5,4,3,6,2,0,3,1,6,4,3,4,1,2,6,0,2,0,1,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2024-02-26,4,26,8,8,2,3,6,6,5,9,6,6,6,3,4,9,13,9,3,1,9,6,0,0,0,1,2,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
2024-02-27,12,37,27,7,8,3,4,3,6,0,6,0,6,2,1,4,4,6,7,0,14,10,0,5,0,1,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2024-02-28,9,19,15,15,3,0,1,6,3,0,3,1,2,4,5,9,4,9,4,2,2,4,0,0,0,0,3,0,2,1,0,1,0,0,1,0,1,0,1,0,0,0,0
2024-02-29,11,35,20,16,8,0,7,7,3,3,7,0,2,9,4,5,9,11,1,2,6,4,0,1,0,0,1,1,1,2,0,0,0,0,2,0,0,0,2,0,0,0,0
2024-03-01,6,27,16,0,9,2,2,8,3,6,7,0,3,1,2,12,8,5,0,0,1,1,0,0,0,2,1,1,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0
2024-03-04,10,34,10,6,9,2,5,10,4,10,18,1,3,4,5,11,4,13,4,0,3,2,0,3,0,0,1,1,3,1,0,0,0,0,6,0,0,0,1,0,0,0,0
2024-03-05,10,32,18,12,11,2,3,11,2,5,20,1,5,7,6,13,3,15,5,1,3,1,0,0,0,4,1,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-06,5,33,11,12,5,3,7,5,5,4,16,6,0,4,4,12,5,2,2,0,2,1,0,0,0,1,0,3,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2024-03-07,3,26,13,12,8,5,2,2,2,6,25,1,0,26,14,2,5,5,4,5,4,3,0,0,0,2,1,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
2024-03-08,1,15,9,6,3,1,0,1,4,1,15,4,0,6,3,9,2,2,4,1,2,3,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-11,3,18,6,4,2,0,2,0,1,8,19,0,1,5,8,10,13,7,5,3,1,3,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2024-03-12,2,27,23,3,14,1,2,1,3,1,7,2,0,2,14,20,2,10,0,0,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2024-03-13,3,18,28,9,7,3,3,1,2,3,0,1,3,7,6,3,2,9,0,1,11,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-14,1,19,13,8,7,2,4,3,1,3,3,1,0,2,7,9,5,4,0,0,4,4,0,0,0,2,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
2024-03-15,6,26,25,12,6,2,2,3,4,3,9,1,2,10,5,14,6,11,2,1,2,7,0,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-18,1,28,24,7,11,2,0,1,2,6,7,0,2,9,3,12,8,17,2,0,9,9,0,0,0,0,2,2,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0
2024-03-20,4,25,21,5,18,0,1,7,1,7,17,0,6,8,3,14,7,5,3,0,7,5,0,0,0,0,0,1,1,3,0,2,0,0,0,0,0,0,1,0,0,0,0
2024-03-21,1,28,27,17,12,0,6,4,5,3,4,1,2,3,6,14,8,5,3,2,8,8,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2024-03-22,4,23,14,15,9,0,2,0,2,2,18,1,5,8,8,6,6,11,1,1,2,1,0,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-03-25,5,20,9,18,11,0,9,2,9,8,5,2,4,2,7,14,10,18,1,1,9,7,0,0,0,0,3,1,1,2,0,1,0,0,3,0,0,0,1,0,0,0,0
2024-03-26,4,40,19,14,14,0,4,1,6,2,7,1,7,7,3,11,8,17,1,3,7,3,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,1,0,0,0,0
2024-03-27,0,25,14,14,12,0,7,9,3,3,6,3,3,1,6,10,10,6,1,0,11,7,0,0,1,0,0,2,0,1,0,1,0,0,3,0,0,0,3,0,0,0,0
2024-04-01,2,44,15,5,8,0,1,6,14,4,5,3,3,4,2,10,2,6,4,0,4,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2024-04-02,2,31,19,14,9,0,1,1,10,4,4,0,6,5,5,7,7,6,0,0,7,6,0,0,0,0,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0
2024-04-03,6,16,50,4,13,0,5,3,0,3,5,0,5,6,2,17,5,7,5,0,6,2,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
2024-04-04,2,6,23,21,9,0,6,4,3,3,7,1,1,9,1,13,9,6,2,1,3,3,0,1,0,0,0,2,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0
2024-04-05,1,20,29,17,4,0,4,6,1,4,4,0,5,8,1,11,12,8,4,1,4,4,0,1,0,0,0,4,0,1,4,1,0,0,1,0,0,0,0,0,0,0,0
2024-04-08,5,27,29,7,10,0,4,1,6,2,4,2,5,2,7,11,7,6,2,2,8,6,0,1,0,0,1,1,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0
2024-04-09,4,14,23,12,8,0,2,1,8,9,7,0,2,4,6,15,12,12,3,0,3,6,0,0,0,0,0,2,1,1,4,1,0,0,3,0,0,0,0,0,0,0,0
2024-04-10,1,6,19,10,5,0,3,6,2,5,1,1,12,6,0,10,1,8,0,2,4,3,0,0,0,0,0,2,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0
2024-04-11,1,10,20,11,7,0,2,3,4,5,10,2,3,6,2,8,5,15,4,2,7,11,0,0,0,0,8,2,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0
2024-04-12,5,11,20,9,4,0,5,2,6,8,6,1,4,8,7,13,12,10,2,0,10,4,0,0,0,0,3,4,0,0,4,0,1,0,2,0,0,0,1,0,0,0,0
2024-04-15,3,20,27,10,21,0,0,1,2,6,5,0,0,0,2,9,11,18,1,2,4,8,0,0,0,0,1,0,1,5,1,1,1,1,4,0,0,0,2,0,0,0,0
2024-04-16,4,32,31,11,9,0,4,1,6,9,6,1,5,7,10,15,18,26,2,3,6,10,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0
2024-04-17,3,20,61,8,16,0,4,2,2,3,13,0,3,13,6,19,3,13,1,1,3,1,0,1,0,1,1,1,0,2,0,0,1,1,1,0,0,0,1,0,0,0,0
2024-04-18,5,29,51,10,9,0,6,2,7,4,12,1,4,1,3,7,23,24,0,0,9,4,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
2024-04-22,10,38,41,16,20,0,2,0,10,3,13,0,4,9,6,4,7,14,1,2,4,3,0,0,0,1,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0
2024-04-23,4,16,51,12,10,0,2,0,9,4,7,0,3,2,2,15,6,15,2,0,8,3,0,0,0,0,0,2,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0
